epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.84424,0.42166,3.32583,1.07652,0.00264,1,0.15338,0.13877,0.10179,2.63788,0.09376,0.000232711,0.000232711,0.000232711
2,18.5624,0.21083,2.52016,0.93826,0.5955,0.1866,0.28835,0.28588,0.17072,2.08703,0.21065,0.000466051,0.000466051,0.000466051
3,27.2385,0.23293,1.92616,0.94796,0.29205,0.20438,0.18771,0.16761,0.20569,3.61667,0.24563,0.000694679,0.000694679,0.000694679
4,35.2495,0.21903,1.57279,0.92824,0.72204,0.17073,0.24121,0.23177,0.34713,2.16678,0.46159,0.000692794,0.000692794,0.000692794
5,43.0044,0.20216,1.42206,0.91997,0.52897,0.49749,0.46758,0.46205,0.19631,4.52382,0.17472,0.000685726,0.000685726,0.000685726
6,51.6719,0.18549,1.3039,0.91923,0.33576,0.54686,0.52278,0.51098,0.14834,4.47609,0.14849,0.000678657,0.000678657,0.000678657
7,60.0879,0.17281,1.20585,0.91374,0.55804,0.59672,0.58448,0.56356,0.16463,4.04854,0.15166,0.000671588,0.000671588,0.000671588
8,68.3706,0.17382,1.12609,0.91287,0.73208,0.56798,0.64966,0.63472,0.16332,1.7186,0.15758,0.00066452,0.00066452,0.00066452
9,76.7064,0.16084,1.10513,0.90947,0.63417,0.59679,0.65373,0.64822,0.07978,8.95984,0.08902,0.000657451,0.000657451,0.000657451
10,84.8079,0.16329,1.06876,0.90424,0.68908,0.56953,0.63625,0.62387,0.08513,4.88153,0.09889,0.000650383,0.000650383,0.000650383
11,92.6271,0.15298,1.01661,0.91007,0.75735,0.6373,0.69864,0.69738,0.13581,19.0971,0.11536,0.000643314,0.000643314,0.000643314
12,100.387,0.14495,0.97359,0.90247,0.53252,0.57665,0.48832,0.46755,0.13095,6.66177,0.12027,0.000636245,0.000636245,0.000636245
13,108.461,0.15335,1.01033,0.90493,0.5406,0.62422,0.65419,0.65325,0.11558,14.8487,0.09765,0.000629177,0.000629177,0.000629177
14,116.479,0.15451,0.94157,0.90962,0.75955,0.64029,0.7255,0.71924,0.0852,4.65687,0.09893,0.000622108,0.000622108,0.000622108
15,124.839,0.14364,0.94825,0.90927,0.84662,0.72361,0.81664,0.81452,0.07313,3.25822,0.08353,0.00061504,0.00061504,0.00061504
16,133.084,0.14089,0.8866,0.90795,0.80642,0.56759,0.7337,0.73292,0.10565,9.56011,0.09851,0.000607971,0.000607971,0.000607971
